"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","yr_sold","age","renovated","dist"
"35",7955080270,2014-12-03,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2014,33,0,23844.9364624383
"36",9547205180,2014-06-13,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,2014,84,0,8675.74191410304
"37",9435300030,2014-05-28,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,2014,81,0,16249.0494966363
"38",2768000400,2014-12-30,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,2014,110,0,7469.11313275553
"39",7895500070,2015-02-13,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,2015,46,0,30523.7408348955
"40",2078500320,2014-06-20,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,2014,18,0,14222.2779675544
"41",5547700270,2014-07-15,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,2014,14,0,22915.8091694751
"42",7766200013,2014-08-11,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,2014,30,0,17979.6214166487
"43",7203220400,2014-07-07,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,2014,0,1,25269.8886414432
"44",9270200160,2014-10-28,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,2014,92,0,4582.09273208477
"45",1432701230,2014-07-29,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,2014,55,0,21157.2065570887
"46",8035350320,2014-07-18,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,2014,11,0,30737.1389553806
"47",8945200830,2015-03-25,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2015,49,0,33479.5959556782
"48",4178300310,2014-07-16,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,2014,33,0,13669.785709049
"49",9215400105,2015-04-28,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,2015,62,0,8497.26777964494
"50",822039084,2015-03-11,1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,2015,62,0,24209.2759084947
"51",5245600105,2014-09-16,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,2014,59,0,20096.3874822365
"52",7231300125,2015-02-17,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2015,49,0,16531.0487191545
"53",7518505990,2014-12-31,6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,2014,64,0,9171.444741754
"54",3626039271,2015-02-05,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,2015,34,0,10683.857417364
"55",4217401195,2015-03-03,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,2015,88,0,6841.07663940603
"56",9822700295,2014-05-12,885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,2014,19,0,6741.14717588445
"57",9478500640,2014-08-19,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,2014,6,0,31342.7400596445
"58",2799800710,2015-04-07,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,2015,12,0,31031.9541571834
"59",7922800400,2014-08-27,951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,2014,46,0,16348.0354675873
"60",8079040320,2015-02-23,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,2015,24,0,17716.6731435892
"61",1516000055,2014-12-10,650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,2014,55,0,19220.7450345392
"62",9558200045,2014-08-28,289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,2014,60,0,18881.0442971579
"63",5072410070,2014-10-21,505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,2014,41,0,18211.5874726348
"64",9528102996,2014-12-07,549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,2014,0,1,7878.20783797489
"65",1189001180,2014-06-03,425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,2014,35,0,2694.7537867478
"66",3253500160,2014-11-20,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,2014,89,0,4092.2653259238
"67",3394100030,2014-09-09,975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,2014,25,0,10871.0316868579
"68",3717000160,2014-10-09,287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,2014,9,0,30407.8535904078
"69",1274500060,2014-08-25,204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2014,46,0,31898.9708388164
"70",1802000060,2014-06-12,1325000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,2014,49,0,9187.24298645574
"71",1525059190,2014-09-12,1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,2014,41,0,13901.8303867137
"72",1049000060,2015-01-05,325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2015,43,0,18469.8391705884
"73",8820901275,2014-06-10,571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,2014,98,0,12767.8243149895
"74",5416510140,2014-07-10,360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,2014,9,0,35248.5553910364
"75",3444100400,2015-03-16,349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2015,50,0,34444.6270514386
"76",3276920270,2014-11-05,832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,2014,28,0,26044.483650032
"77",4036801170,2014-10-13,380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2014,58,0,15547.2408276874
"78",2391600320,2015-04-20,480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,2015,74,0,6640.03346597579
"79",6300000287,2014-06-09,410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,2014,58,0,11269.9784421344
"80",1531000030,2015-03-23,720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,2015,13,0,37402.2000743811
"81",5104520400,2014-12-02,390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,2014,11,0,37421.636111454
"82",7437100340,2014-12-22,360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,2014,22,0,36509.8340205716
"83",9418400240,2014-10-28,355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,2014,66,0,7236.77482132099
"84",1523059105,2015-01-28,356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2015,51,0,19576.5265379729
"85",1133000671,2014-06-02,315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,2014,62,0,13482.7844311576
"86",4232902595,2014-11-14,940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,2014,89,0,3932.63389526732
"87",2599001200,2014-11-03,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2014,53,0,36714.9727774972
"88",3342103156,2014-06-18,461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,2014,8,0,13643.5570554506
"89",1332700270,2014-05-19,215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,2014,35,0,14283.3554728524
"90",3869900162,2014-09-04,335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,2014,8,0,8502.71466999084
"91",2791500270,2014-05-22,243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,2014,26,0,35360.4239660558
"92",5036300431,2015-03-11,1099880,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,2015,14,0,6629.85878654172
"93",4168000060,2015-02-26,153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2015,53,0,31668.9571395196
"94",6021501535,2014-07-25,430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,75,0,9861.19650226968
"95",6021501535,2014-12-23,7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,75,0,9861.19650226968
"96",1483300570,2014-09-08,905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,2014,68,0,6583.36733732171
"97",3422049190,2015-03-30,247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,2015,48,0,27982.7636230342
"98",1099611230,2014-09-12,199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,2014,39,0,33861.9905558135
"99",722079104,2014-07-11,314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,2014,34,0,35552.1631106636
"100",7338200240,2014-05-16,437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,2014,22,0,48402.4293986713
"101",1952200240,2014-06-11,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,2014,104,0,4133.72129503632
"102",5200100125,2014-10-27,555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,2014,85,0,8482.51057099839
"103",7214720075,2014-12-12,699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,2014,31,0,26496.2899270456
"104",2450000295,2014-10-07,1088000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,2014,64,1,10583.6886604509
"105",6197800045,2014-09-24,290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,2014,60,0,21831.7662700085
"106",1328310370,2015-04-02,375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,2015,37,0,23529.6590479605
"107",546000875,2014-05-23,460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,2014,75,0,9768.19225083561
"108",3530510041,2014-07-23,188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,2014,29,0,25047.2763877148
"109",1853000400,2015-03-05,680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,2015,24,0,23295.2589150371
"110",3134100116,2014-08-27,470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,2014,72,0,17199.0455845717
"111",9545230140,2014-07-25,597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,2014,30,0,22270.9893107618
"112",3362400511,2015-03-04,570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,2015,110,0,8565.70929337829
"113",2525310310,2014-09-16,272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,2014,34,0,35350.316093746
"114",6126500060,2014-11-24,329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,2014,43,0,7113.85200346201
"115",8961960160,2014-10-28,480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,2014,13,0,32597.0833468339
"116",3626039325,2014-11-21,740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,2014,114,0,10578.5396794646
"117",3362400431,2014-06-26,518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,2014,4,1,8555.83771638719
"118",4060000240,2014-06-23,205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,2014,69,0,13316.3833926848
"119",3454800060,2015-01-08,171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,2015,65,0,12405.9248701074
"120",1695900060,2015-05-11,535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,2015,90,0,3570.47469026836
"121",7278700070,2015-01-02,660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,2015,51,0,18980.5407081004
"122",6675500070,2014-11-19,391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,2014,27,0,15796.3942653771
"123",3626039187,2015-04-06,395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,2015,62,0,10701.4119209642
"124",3524049083,2014-11-04,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,2014,90,0,9838.22719040931
"125",3275860240,2014-06-18,770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,2014,24,0,19864.9886642368
"126",4389200955,2015-03-02,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,2015,101,0,9056.11688773271
"127",4058801670,2014-07-17,445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,2014,47,0,12674.3960378869
"128",8732020310,2014-07-17,260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,2014,36,0,32939.5382731064
"129",2331300505,2014-06-13,822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,2014,88,0,7944.95657806466
"130",7853210060,2015-04-06,430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,2015,11,0,37141.8434881413
"131",3668000070,2015-01-05,212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,2015,29,0,39168.5693806433
"132",9545240070,2015-04-28,660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,2015,29,0,22367.9075865951
"133",1243100136,2014-06-12,784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,2014,25,0,21968.0991032736
"134",8929000270,2014-05-12,453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,2014,0,1,25811.7397065316
"135",2767602356,2015-01-26,675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,2015,10,0,8298.70425803928
"136",921049315,2014-08-13,199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,2014,58,0,31343.0755818483
"137",3655000070,2014-08-05,220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,2014,46,0,30747.3109619588
"138",4027700812,2014-05-29,452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,2014,46,0,18776.8114213222
"139",3992700335,2014-07-07,382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,2014,33,0,12413.997145362
"140",2767603505,2014-05-07,519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,2014,0,1,8211.7382269161
"141",4232901525,2014-06-27,665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,2014,89,0,3635.45181882828
"142",1777500060,2014-07-08,527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,2014,46,0,15825.1030924111
"143",1432900240,2015-05-08,205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,2015,53,0,20617.1070407047
"144",6140100875,2015-04-15,420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,2015,92,0,12127.8398474703
"145",6071600370,2015-02-27,5e+05,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,2015,54,0,13445.9946838401
"146",1526069017,2014-12-03,921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,87991,2014,20,0,27482.7311866526
"147",809001525,2014-06-25,890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,2014,109,0,3609.03978925396
"148",3224079105,2014-08-06,430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842,2014,7,0,30552.5519191231
"149",8075400570,2014-10-30,258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000,2014,54,0,24458.9800366148
"150",1994200024,2014-11-04,511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,2014,67,0,9032.74731675951
"151",3362900810,2014-08-20,532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,2014,24,0,8779.45187321507
"152",1324300398,2015-04-09,560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,2015,68,0,5795.10573132469
"153",537000445,2015-03-31,282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,2015,61,0,31318.8541295431
"154",7855801670,2015-04-01,2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750,2015,9,0,13687.0703706927
"155",7920100045,2014-05-16,350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,2014,72,0,8454.11798240578
"156",8960000030,2014-07-28,215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,2014,47,0,21170.9443272438
"157",6388930390,2014-11-20,650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675,2014,18,0,15043.8772238519
"158",8731900200,2014-08-07,320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,2014,47,0,32701.3586990496
"159",8029200135,2014-11-13,247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,2014,98,1,50991.805378205
"160",1081200350,2014-10-03,320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,2014,46,0,21993.6773607896
"161",84000105,2014-05-07,255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,2014,52,0,13193.1592667024
"162",3756500060,2015-03-09,438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,2015,53,0,16160.7578431408
"163",7215720160,2015-03-04,9e+05,3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,2015,15,0,23206.9922081356
"164",3574800520,2014-06-20,441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,2014,35,0,16169.9798723331
